step,t,dt,p_max,lam_max,shock_x_mean
0,0,0,82.8841885455588,0,2.0970000000000026
155,0.25,0.00041960815732131063,75.706255826297152,0.17710509562282131,2.3377500000000029
335,0.5,0.00084481727696644748,73.380508940109394,0.31896493090737155,3.6180000000000025
522,0.75,0.00012436786948910594,77.33634668339505,0.43363257847044911,5.2747500000000027
710,1,0.00056029004636837243,83.094164980639775,0.5292725823098916,6.9280000000000044
897,1.25,0.000491937654882868,78.093547853182429,0.60952208154767895,8.5637500000000006
1084,1.5,8.7182950742281662e-05,73.636105323146865,0.67634713970517457,10.185000000000002
1273,1.75,0.00039633746966871719,72.580057226853896,0.73178556808910522,11.795750000000004
1463,2,0.00022504814841806109,72.261326686554085,0.77773000852953211,13.381250000000005
1653,2.25,0.000664701937082679,76.409894051125221,0.81580205830759256,14.955499999999999
1843,2.5,0.00099044155327909777,76.030615631302027,0.84733556901091456,16.523250000000008
2033,2.75,0.0010809679389831572,68.86561964805189,0.8732247955652358,18.084250000000001
2223,3,0.0011332705537574483,69.788068886496674,0.89438050401816827,19.645250000000001
2413,3.25,0.00069527574490813038,63.237437322945397,0.91173956107284138,21.203750000000003
2604,3.5,0.00038402494403788623,57.878603018889898,0.92624414318886183,22.763750000000005
2796,3.75,0.00083459962799192766,54.485394508430097,0.93836690156708813,24.338000000000001
2988,4,0.00012440786602052611,53.681340032990171,0.94849904109262384,25.904500000000013
3181,4.25,0.00033796571197353131,53.592673063226343,0.95696778576886965,27.477500000000006
3375,4.5,0.00051259971123229775,53.496058266669152,0.96404563589327463,29.0655
3570,4.75,0.0012245457126889292,50.772320448542644,0.9699604736441737,30.669000000000004
3770,5,0.0004697367560133614,49.252890891756593,0.97490299801304903,32.281500000000015
3972,5.25,0.0010704963528125333,48.827616424992883,0.97903363663330001,33.891000000000012
4175,5.5,0.00041014178670906176,47.686480732434617,0.98249098263947554,35.500250000000008
4377,5.75,5.2740365641845699e-05,50.806462471458445,0.98537781319387518,37.110500000000002
4577,6,0.00012706254363514802,47.939117290616217,0.98777896553279065,38.724500000000006
4775,6.25,0.00022485408435901633,47.35657046078876,0.98977519958761639,40.336500000000008
4968,6.5,0.00082111623257041799,45.615030199749043,0.99143705342579247,41.945999999999998
5154,6.75,0.00033092068434559252,46.110633516100812,0.99282292871463451,43.548499999999997
5337,7,0.00012356625075415906,47.197720221591169,0.9939811493571622,45.138000000000005
5518,7.25,0.00019638127389320914,44.603687139461059,0.9949517328985108,46.723499999999994
5700,7.5,0.00016683979676024308,43.467801784631284,0.99576653251548131,48.295750000000005
5883,7.75,0.0002045208892171857,41.535517171567712,0.9964565721472981,49.870750000000001
6065,8,0.00031815268306445432,38.286065898700919,0.9970388604043402,51.439750000000011
6245,8.25,0.0002108646796283864,41.886431633087753,0.99752441206031395,53.010750000000009
6421,8.5,0.00061379946109774153,42.604533874772372,0.99792988209820987,54.582999999999998
6594,8.75,0.0010415510903705183,41.312541597188215,0.99826803310117707,56.155250000000002
6767,9,0.0010593139512664607,40.610786706429849,0.99855014687741361,57.734499999999997
6941,9.25,0.00011926038905407665,40.839297015725862,0.99878542275911153,59.306749999999994
7112,9.5,0.0010129083510470593,40.258595323467901,0.99898175497208841,60.877249999999982
7282,9.75,0.0009984337979975777,39.174860017485713,0.99914577331253052,62.448000000000008
7453,10,0.00051397847824397047,38.243330244264307,0.99928303374154015,64.020250000000019
7626,10.25,0.00064422799270857922,37.436755216860355,0.99939803808509209,65.590250000000012
7800,10.5,0.00050931280397037426,37.199738781873485,0.99949438310266137,67.157999999999987
7973,10.75,0.00091384908407121657,36.585799980723863,0.99957513628881778,68.716250000000002
8146,11,0.0013317992808836721,36.654175883968627,0.99964296720328771,70.279000000000011
8322,11.25,0.00078142136048420241,37.254699375574987,0.99969993172801574,71.839000000000013
8500,11.5,0.0007906654578526684,36.840691781878093,0.99974776694378598,73.399749999999997
8680,11.75,0.00024502171452667199,37.931126273371127,0.99978795019120026,74.95774999999999
8860,12,0.00021550674172488016,37.168642261249715,0.99982173616415915,76.510499999999979
9038,12.25,0.00050477563844175677,37.047410376064676,0.99985017486332384,78.056250000000006
9212,12.5,0.00052534066312404093,37.880066745358931,0.99987407337895962,79.597500000000011
9381,12.75,0.0007590461105930757,35.927407793459231,0.99989414891651707,81.128999999999991
9549,13,0.00034021472023226806,35.190973519352788,0.99991101784326364,82.654250000000005
9719,13.25,0.00034085097879810178,34.459017653750465,0.99992523551258683,84.161249999999981
9889,13.5,0.0013226188258634863,33.742843007004865,0.99993720797428776,85.66825
10060,13.75,0.00078083753089863706,33.019486385559183,0.99994728904107366,87.168000000000006
10232,14,0.00058335360025552063,32.258836638538952,0.99995577565828586,88.653750000000002
10405,14.25,0.00097265163297066692,31.281471859911971,0.99996289752717693,90.133499999999998
10581,14.5,0.00020930218532200229,30.689949348083353,0.9999688695688792,91.605500000000006
10757,14.75,0.00067340438002894132,29.835388115384603,0.99997387154330208,93.063249999999982
10933,15,0.00094249368819099288,30.004870800941227,0.99997806334019723,94.517749999999978
11109,15.25,0.001101592913741456,30.512281330666479,0.99998157722489323,95.960750000000004
11286,15.5,0.00031679021493502546,30.311660248780374,0.9999845259446809,97.396500000000003
11464,15.75,0.00012787568045347086,30.19224159123841,0.99998699983593053,98.819999999999993
11642,16,0.0010190545043951005,29.894274734148478,0.99998907431519835,100.23825000000002
11822,16.25,9.4353408631064895e-05,29.073776133948304,0.99999081516455324,101.64399999999999
12002,16.5,0.00092939347300458053,28.351758357016752,0.99999227781727207,103.04999999999998
12181,16.75,0.00085071181283424835,28.043164669346766,0.99999350688321598,104.4435
12359,17,0.00096491150791067071,27.406708721615352,0.99999453987446218,105.82325000000003
12536,17.25,0.00022189212442569328,27.191843496919169,0.99999540875878523,107.20274999999999
12711,17.5,0.0013627976204624304,29.604192431336497,0.99999613985649283,108.57449999999999
12885,17.75,0.00055270093600157111,28.285822450478911,0.99999675432998614,109.93575000000001
13057,18,0.0009180639517438749,28.528546565559747,0.99999727112481518,111.29524999999998
13227,18.25,0.00040962717348946853,28.954637670222354,0.99999770593832715,112.64525000000002
13395,18.5,0.0012775835190268481,28.706213878995218,0.99999807204943048,113.98575000000001
13566,18.75,0.0011164797082230393,28.743755421600923,0.99999838019849996,115.32000000000002
13740,19,0.0008986894412252866,29.457988900679997,0.99999863946641321,116.64925000000002
13917,19.25,0.00098050089450651967,29.93908036656644,0.99999885761064966,117.97325000000005
14097,19.5,0.0011246445759951484,30.319580578479162,0.99999904060723188,119.29199999999999
14279,19.75,0.00061826731806391422,32.475610087625576,0.99999919400339066,120.60825000000001
14461,20,0.0010517277849579898,31.633752689524002,0.99999932249506607,121.91675000000001
14643,20.25,0.00085922874221111556,30.803652880238445,0.99999943020507842,123.22349999999999
14824,20.5,0.00098235219262932105,30.027907803084577,0.99999952060782549,124.52325000000002
15004,20.75,0.0013264045803893509,29.424548845961795,0.99999959650692738,125.81275000000001
15184,21,0.00047199113585350005,29.2530126505184,0.99999966066336532,127.1075
15364,21.25,0.00067769995738586886,29.309291929104234,0.99999971471480531,128.39175
15545,21.5,0.00041893095334799568,28.988632154739729,0.9999997601253976,129.6695
15727,21.75,8.1085914452216912e-05,34.50639690915802,0.99999979829931118,130.94374999999999
15910,22,0.00088151770195921131,30.228775275838434,0.99999983037626694,132.21650000000002
16093,22.25,0.00112333931822306,28.861555835538642,0.99999985732503471,133.47800000000004
16276,22.5,0.0010341449979414108,28.143347783688256,0.9999998799674692,134.74600000000001
16459,22.75,0.00070174034162562293,27.641708475044329,0.99999989897298136,136.01024999999998
16641,23,0.00068159488925445544,27.358787927720908,0.99999991493087159,137.27024999999995
16822,23.25,0.00068569968769338629,27.771436565910168,0.99999992835176588,138.53649999999999
17002,23.5,0.00063073030725746548,28.363108058669415,0.99999993962599087,139.80125000000001
17181,23.75,0.00046803724425004134,28.20624778933875,0.99999994911948964,141.05849999999998
17359,24,0.00076309537576335629,32.402865351896629,0.99999995708496792,142.32074999999998
17537,24.25,0.00028226176939227798,29.520304021432569,0.99999996377388001,143.57499999999999
17714,24.5,0.0010443668922981431,28.400600419551829,0.99999996939161828,144.82925000000006
17891,24.75,0.00012575412518245344,27.46259574555426,0.99999997411925856,146.08599999999996
18067,25,0.0004977597263824407,26.772409782203489,0.99999997811811492,147.33425000000003
18241,25.25,0.00097543828454860204,26.392018266524964,0.99999998149555525,148.58500000000001
18413,25.5,0.0012163738645440958,26.791058302101618,0.9999999843475641,149.84224999999998
18584,25.75,0.00061921631921180165,26.707158034252775,0.99999998676363144,151.09675000000001
18754,26,0.00054447561310766446,26.715918559795945,0.99999998880836427,152.35475000000005
18923,26.25,0.00075233283318709709,29.807539478378875,0.99999999053226252,153.61149999999998
19091,26.5,0.0014178996837124203,27.653856549823843,0.99999999199317546,154.87300000000002
19260,26.75,0.00042790750351073825,26.430571876795113,0.99999999322066346,156.14675000000005
19428,27,0.0014344259771448264,25.682913448081006,0.99999999426039465,157.41674999999998
19596,27.25,0.0014667787184450276,25.208702034597909,0.99999999513354643,158.69050000000001
19764,27.5,0.0011281980648973899,25.52293161056193,0.99999999587421062,159.96725000000001
19931,27.75,0.0012255952137785187,24.94700973581768,0.99999999650269489,161.23975000000002
20098,28,3.6523962840817603e-05,24.829945820414867,0.99999999705196985,162.51425
20264,28.25,0.001170631633588215,25.188223352886954,0.99999999751549917,163.78474999999997
20430,28.5,0.00048192001392521888,27.439469245167828,0.99999999790600624,165.05774999999997
20596,28.75,0.00034144018717086055,25.965992293872127,0.99999999823554087,166.32350000000002
20762,29,0.0012569335818284344,25.239737114302308,0.9999999985137612,167.5865
20929,29.25,0.00090551624312595891,25.022246630489036,0.99999999874807022,168.85350000000003
21097,29.5,0.00083586507135180454,25.168336352055654,0.99999999894557312,170.12000000000003
21266,29.75,0.00031071806798976809,25.314009097954067,0.99999999911182658,171.39000000000004
21435,30,0.0002443128381841575,25.593986831111103,0.99999999925215444,172.65924999999999
